husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,nwifeinc,inlf,hrwage
26,0,250,15,1,0,40,0,500,24,1,12,0,0,0,5,6,0,40,0,1,12.5
53,0,1157,17,0,0,91,0,1000,52,0,18,0,1,55000,30,28,0,35,3,1,28.57143
39,0,200,12,0,0,50,0,300,28,0,12,0,0,8750,21,10,0,40,0,1,7.5
24,0,390,12,1,0,0,0,205,22,1,12,0,0,17500,6,4,1,25,6.84,1,8.2
46,0,1000,12,0,0,24,0,992,33,0,12,0,1,112500,28,15,0,40,60.916,1,24.8
35,0,300,9,0,0,40,1,88,37,0,12,0,0,13750,20,19,0,20,9.174,1,4.4
39,0,611,12,0,0,40,1,5,38,0,14,0,0,32500,21,18,0,1,32.24,1,5
30,0,825,16,0,0,50,0,500,28,0,18,0,0,45000,8,4,0,84,19,1,5.952381
31,0,266,13,0,1,38,0,200,27,0,12,1,0,22500,12,9,1,40,12.1,1,5
41,1,520,12,0,0,40,1,240,37,0,13,0,0,37500,23,18,0,40,25.02,1,6
44,0,401,6,0,0,40,0,220,45,0,12,0,0,37500,32,27,0,40,26.06,1,5.5
38,0,780,14,0,0,40,1,95,40,0,14,0,0,45000,18,20,0,15,40.06,1,6.333333
46,0,950,11,0,0,45,0,150,46,0,11,0,0,67500,29,29,0,24,59.7,1,6.25
31,0,550,12,0,0,40,0,670,30,0,12,0,0,45000,13,12,0,60,10.16,1,11.16667
37,0,200,12,0,0,40,1,286,47,0,12,0,0,17500,19,29,0,40,2.628,1,7.15
27,0,338,12,0,0,25,0,333,28,0,16,0,0,37500,9,6,1,40,20.184,1,8.325
33,1,480,13,1,0,40,0,360,32,1,14,0,0,45000,14,12,1,40,26.28,1,9
33,0,850,18,0,0,40,0,646,34,0,16,0,0,67500,9,12,0,40,33.908,1,16.15
42,0,1250,18,0,0,50,1,769,42,0,16,0,0,112500,18,20,0,77,72.512,1,9.987013
46,0,800,18,0,0,40,0,400,44,0,18,0,0,0,22,20,1,24,0,1,16.66667
60,0,450,10,0,0,54,0,543,57,0,12,0,1,55000,44,39,0,40,26.764,1,13.575
51,0,500,12,1,0,70,0,80,46,1,10,0,0,17500,33,30,0,10,13.34,1,8
54,0,400,12,0,0,40,0,325,54,0,12,0,0,37500,36,36,0,40,20.6,1,8.125
50,0,220,6,0,1,40,1,260,43,0,3,1,1,27500,38,34,0,40,13.98,1,6.5
44,0,337,14,0,0,70,1,332,42,0,12,0,0,27500,24,24,0,40,10.236,1,8.3
48,1,600,12,0,0,40,0,235,50,0,13,0,0,45000,30,31,0,35,32.78,1,6.714286
37,0,600,18,0,0,38,0,230,26,0,13,0,0,45000,13,7,1,25,33.04,1,9.2
40,0,700,18,0,0,32,1,35,40,0,16,0,0,32500,16,18,0,2,30.68,1,17.5
24,0,280,12,1,0,40,0,200,29,1,12,0,0,22500,6,11,1,30,12.1,1,6.666667
54,0,500,12,0,0,55,0,100,51,0,12,0,0,45000,36,33,0,21,39.8,1,4.761905
50,0,780,12,0,0,40,0,600,42,0,16,0,1,67500,32,20,0,40,36.3,1,15
49,1,606,12,0,0,57,0,126,50,0,12,0,0,45000,31,32,0,28,38.448,1,4.5
37,1,600,16,0,0,38,1,450,36,0,16,0,1,45000,15,14,0,35,21.6,1,12.85714
56,0,1200,12,0,0,40,0,450,54,0,15,0,0,32500,38,33,0,24,9.1,1,18.75
24,0,430,16,0,0,40,0,153,23,0,16,0,0,27500,2,1,0,30,19.544,1,5.1
26,0,277,18,0,0,40,0,140,26,1,12,0,0,13750,2,8,1,35,6.47,1,4
51,0,1600,18,0,0,50,0,275,51,0,12,0,0,67500,27,33,0,27,53.2,1,10.18519
34,0,368,10,0,0,32,1,231,33,0,12,0,0,45000,18,15,0,40,32.988,1,5.775
29,0,1092,12,0,0,84,0,300,30,0,16,0,0,55000,11,8,1,35,39.4,1,8.571428
35,0,175,18,0,0,20,0,400,27,0,16,0,0,32500,11,5,1,40,11.7,1,10
37,0,400,12,0,0,40,1,400,38,0,14,0,0,37500,19,18,0,40,16.7,1,10
53,0,425,12,0,0,40,0,490,45,0,12,0,0,0,35,27,0,40,0,1,12.25
27,0,625,13,0,0,40,0,396,26,0,12,0,0,45000,8,8,0,35,24.408,1,11.31429
24,0,300,12,0,0,40,0,500,22,0,16,0,0,17500,6,0,0,48,0,1,10.41667
39,0,360,14,0,0,40,0,500,33,0,14,0,1,45000,19,13,1,40,19,1,12.5
26,0,1200,13,0,0,40,0,500,25,0,16,0,0,45000,7,3,0,45,19,1,11.11111
38,1,1000,14,0,0,46,0,700,38,0,14,0,1,55000,18,18,1,35,18.6,1,20
38,0,770,14,0,0,32,1,414,38,0,14,0,0,55000,18,18,0,24,33.472,1,17.25
33,0,400,12,0,0,40,0,105,28,0,12,0,0,22500,15,10,0,30,17.04,1,3.5
27,0,200,12,0,0,40,0,326,22,0,12,0,0,22500,9,4,0,40,5.548,1,8.15
39,0,1500,16,0,0,40,0,500,38,0,12,0,1,55000,17,20,0,40,29,1,12.5
32,0,650,13,0,0,50,1,425,33,0,14,0,0,45000,13,13,0,40,22.9,1,10.625
52,0,440,10,0,0,40,1,126,37,0,12,0,0,32500,36,19,0,32,25.948,1,3.9375
64,0,71,14,0,0,16,1,230,54,0,15,0,0,17500,44,33,0,40,5.54,1,5.75
54,0,770,18,0,0,40,0,475,56,0,14,0,0,55000,30,36,0,40,30.3,1,11.875
25,0,230,13,0,0,40,0,650,24,0,14,1,0,27500,6,4,1,40,0,1,16.25
34,0,400,12,0,0,48,0,200,34,0,10,0,0,32500,16,18,1,30,22.1,1,6.666667
42,0,486,12,0,0,48,0,136,39,0,12,0,0,32500,24,21,0,24,25.428,1,5.666667
31,0,170,12,0,0,40,0,200,31,0,12,0,0,27500,13,13,1,40,17.1,1,5
61,0,264,12,0,0,40,0,418,55,0,12,0,0,45000,43,37,0,40,23.264,1,10.45
52,0,234,10,0,0,56,0,90,50,0,12,0,0,27500,36,32,0,10,22.82,1,9
36,0,700,14,0,0,40,0,680,33,0,14,0,0,67500,16,13,1,36,32.14,1,18.88889
50,0,300,12,0,0,45,0,300,51,0,12,0,0,32500,32,33,0,40,16.9,1,7.5
35,0,550,16,0,0,40,0,300,34,0,16,0,0,27500,13,12,1,30,11.9,1,10
42,1,529,18,0,0,40,0,323,32,0,14,0,0,37500,18,12,1,40,20.704,1,8.075
35,0,480,13,0,1,40,0,351,35,0,14,1,0,3000,16,15,1,30,0,1,11.7
41,1,750,17,1,0,55,0,770,42,1,17,0,1,67500,18,19,1,50,27.46,1,15.4
41,0,340,13,0,0,40,1,233,41,0,12,0,0,27500,22,23,0,40,15.384,1,5.825
57,0,600,14,1,0,40,0,450,50,1,12,0,0,22500,37,32,0,40,0,1,11.25
36,0,923,13,0,0,0,0,969,35,0,16,0,0,67500,17,13,0,50,17.112,1,19.38
30,0,380,12,0,0,8,1,385,35,0,12,0,0,27500,12,17,0,40,7.48,1,9.625
32,1,324,14,0,0,40,1,113,34,0,14,0,0,13750,12,14,0,25,7.874,1,4.52
28,0,500,14,0,0,40,0,400,25,0,16,1,0,17500,8,3,0,40,0,1,10
43,1,700,12,1,0,40,1,450,41,1,12,0,0,3000,25,23,0,45,0,1,10
59,0,550,13,0,0,49,0,760,57,0,18,0,0,67500,40,33,0,50,27.98,1,15.2
29,0,375,16,0,0,40,0,310,28,0,16,0,0,45000,7,6,0,40,28.88,1,7.75
30,0,962,18,0,0,40,0,480,29,0,16,0,0,67500,6,7,0,50,42.54,1,9.6
45,0,600,16,0,0,50,0,600,43,0,18,0,1,67500,23,19,0,40,36.3,1,15
27,0,750,16,0,0,38,0,450,27,0,16,0,0,67500,5,5,0,40,44.1,1,11.25
57,0,1923,16,0,0,60,0,1000,56,0,16,0,0,112500,35,34,0,50,60.5,1,20
34,0,970,16,0,0,50,0,500,32,0,15,0,0,112500,12,11,1,18,86.5,1,27.77778
26,1,400,12,0,0,50,0,320,24,0,12,0,0,32500,8,6,0,40,15.86,1,8
46,0,736,11,0,0,52,1,196,42,0,12,0,0,32500,29,24,0,30,22.308,1,6.533333
44,0,900,16,0,0,32,0,150,39,0,16,0,0,3000,22,17,0,40,0,1,3.75
30,0,360,14,0,0,40,0,512,29,0,16,0,1,45000,10,7,1,32,18.376,1,16
41,0,750,13,0,0,55,1,275,38,0,13,0,0,45000,22,19,0,40,30.7,1,6.875
32,0,456,12,0,0,54,0,118,30,0,12,0,0,32500,14,12,1,15,26.364,1,7.866667
57,1,480,16,0,0,40,0,240,36,0,12,0,1,112500,35,18,0,40,100.02,1,6
47,0,500,13,0,0,40,1,168,46,0,14,0,0,45000,28,26,0,24,36.264,1,7
35,0,900,13,0,0,40,1,105,39,0,12,0,0,55000,16,21,0,20,49.54,1,5.25
39,0,1200,16,0,0,40,1,400,34,0,15,0,0,3000,17,13,0,40,0,1,10
41,0,1100,14,0,0,40,1,287,40,0,14,0,0,55000,21,20,0,35,40.076,1,8.2
57,1,500,18,0,0,48,0,750,53,0,14,0,0,3000,33,33,0,60,0,1,12.5
42,1,664,13,0,0,16,0,355,43,0,12,0,0,55000,23,25,0,40,36.54,1,8.875
61,0,550,13,0,0,40,0,400,59,0,14,0,0,0,42,39,0,40,0,1,10
25,0,320,13,0,0,40,0,404,25,0,14,0,0,67500,6,5,1,40,46.492,1,10.1
33,0,280,14,0,0,40,0,500,32,0,17,0,1,45000,13,9,0,40,19,1,12.5
58,0,1923,12,0,0,40,0,600,55,0,12,0,0,0,40,37,0,40,0,1,15
48,1,440,12,0,1,48,1,40,48,0,12,1,0,27500,30,30,0,50,25.42,1,0.8
39,0,540,16,0,0,40,0,540,36,0,16,0,0,3000,17,14,1,40,0,1,13.5
52,0,1300,16,0,0,40,0,462,50,0,16,0,1,112500,30,28,0,45,88.476,1,10.26667
43,0,450,13,0,0,35,0,425,42,0,12,0,0,112500,24,24,0,35,90.4,1,12.14286
45,1,611,12,0,0,40,0,608,40,0,15,0,1,55000,27,19,0,40,23.384,1,15.2
40,1,750,18,0,0,60,0,415,37,0,15,0,0,112500,16,16,0,72,90.92,1,5.763889
34,0,512,12,0,1,50,0,308,27,0,12,1,0,55000,16,9,1,40,38.984,1,7.7
57,0,750,12,0,0,52,0,350,52,0,12,0,0,3000,39,34,0,35,0,1,10
41,1,727,14,0,0,40,0,727,42,0,12,0,1,112500,21,24,1,40,74.696,1,18.175
26,0,470,12,1,0,40,0,500,25,1,12,0,0,27500,8,7,0,40,1.5,1,12.5
33,0,865,16,0,0,40,0,150,29,0,12,0,0,45000,11,11,1,40,37.2,1,3.75
46,0,480,16,0,0,60,1,340,44,0,17,0,0,27500,24,21,0,40,9.82,1,8.5
30,0,950,14,0,0,52,0,333,30,0,14,0,0,55000,10,10,0,40,37.684,1,8.325
47,0,907,14,0,0,40,1,160,47,0,12,0,1,55000,27,29,0,20,46.68,1,8
42,0,660,16,0,0,40,0,375,40,0,16,0,0,45000,20,18,1,40,25.5,1,9.375
24,0,280,9,0,0,42,0,400,23,0,12,0,0,37500,9,5,1,45,16.7,1,8.888889
21,0,600,13,0,0,56,1,300,33,0,12,0,0,55000,2,15,0,40,39.4,1,7.5
41,0,400,12,0,0,45,1,350,44,0,16,0,0,32500,23,22,0,45,14.3,1,7.777778
41,0,240,12,0,0,48,1,550,38,0,12,0,0,32500,23,20,0,45,3.9,1,12.22222
47,0,1200,14,0,0,40,0,450,46,0,12,0,0,3000,27,28,0,35,0,1,12.85714
41,0,675,13,0,0,55,1,276,42,0,13,0,0,55000,22,23,0,40,40.648,1,6.9
44,0,420,12,0,0,52,1,345,43,0,13,0,0,45000,26,24,0,30,27.06,1,11.5
29,0,350,17,0,0,40,0,497,29,0,14,0,0,45000,6,9,1,36,19.156,1,13.80556
29,0,375,16,0,0,35,0,200,29,0,16,0,0,0,7,7,0,40,0,1,5
40,0,625,18,0,0,35,1,165,37,0,12,0,0,32500,16,19,0,25,23.92,1,6.6
55,0,450,12,0,0,40,1,314,41,0,12,0,0,55000,37,23,0,40,38.672,1,7.85
43,1,260,13,0,0,40,1,300,44,0,14,0,1,27500,24,24,0,40,11.9,1,7.5
28,0,800,14,0,0,55,0,68,31,0,13,1,0,17500,8,12,0,30,13.964,1,2.266667
37,0,635,18,0,0,32,0,615,28,0,18,0,0,55000,13,4,1,40,23.02,1,15.375
29,0,756,16,0,0,43,0,654,30,0,16,0,0,67500,7,8,0,40,33.492,1,16.35
42,0,641,12,0,0,45,0,600,44,0,18,0,0,6250,24,20,1,15,0,1,40
43,1,413,14,0,0,40,1,260,42,0,12,0,0,37500,23,24,0,40,23.98,1,6.5
37,0,540,12,0,0,38,1,140,28,0,10,0,0,0,19,12,0,40,0,1,3.5
51,0,240,12,0,0,40,0,430,48,0,12,0,0,13750,33,30,0,35,0,1,12.28571
27,0,225,12,1,0,40,0,357,29,1,12,0,0,37500,9,11,1,40,18.936,1,8.925
22,0,320,12,0,0,40,0,40,21,0,13,0,0,17500,4,2,0,8,15.42,1,5
24,0,310,12,0,0,32,0,900,57,0,12,0,0,17500,6,39,1,40,0,1,22.5
28,0,190,6,0,1,40,0,200,25,0,9,1,1,6250,16,10,1,40,0,1,5
42,0,500,18,0,0,40,1,400,28,0,18,0,0,32500,18,4,0,40,11.7,1,10
45,1,780,12,0,0,40,1,435,42,0,12,0,0,37500,27,24,0,40,14.88,1,10.875
52,0,630,12,0,0,55,0,580,53,0,12,0,0,45000,34,35,0,55,14.84,1,10.54545
40,0,385,12,0,0,58,1,433,37,0,12,0,1,45000,22,19,0,40,22.484,1,10.825
49,1,460,12,0,0,40,0,280,45,0,12,0,1,27500,31,27,0,40,12.94,1,7
52,0,615,14,0,0,50,1,28,43,0,12,0,0,37500,32,25,0,5,36.044,1,5.6
32,0,400,12,0,0,60,0,360,30,0,12,0,0,45000,14,12,1,40,26.28,1,9
57,1,875,12,0,0,45,0,442,49,0,12,0,0,55000,39,31,0,40,32.016,1,11.05
31,0,425,12,0,0,50,0,150,24,0,10,0,0,32500,13,8,1,30,24.7,1,5
58,0,300,12,0,0,49,0,90,58,0,12,0,1,27500,40,40,0,15,22.82,1,6
33,0,500,12,0,1,40,0,54,37,0,13,0,0,27500,15,18,1,12,24.692,1,4.5
55,0,660,12,0,0,40,0,600,45,0,12,0,0,55000,37,27,0,24,23.8,1,25
59,0,625,12,0,0,45,0,398,56,0,12,0,1,45000,41,38,0,40,24.304,1,9.95
28,0,300,12,0,0,40,0,180,29,0,12,0,0,45000,10,11,1,20,35.64,1,9
29,0,300,12,0,1,40,0,344,27,0,12,1,0,27500,11,9,1,40,9.612,1,8.6
45,0,1500,14,0,0,40,0,600,44,0,16,0,0,67500,25,22,0,40,36.3,1,15
43,0,296,12,0,0,60,0,289,37,0,12,0,0,0,25,19,0,40,0,1,7.225
37,1,650,12,0,0,45,0,370,26,0,13,0,0,45000,19,7,0,40,25.76,1,9.25
61,0,250,10,0,0,52,0,200,58,0,12,0,0,27500,45,40,0,35,17.1,1,5.714286
35,1,530,12,0,0,45,1,682,34,0,12,0,0,67500,17,16,0,40,32.036,1,17.05
36,0,600,12,0,0,60,0,350,35,0,16,0,0,37500,18,13,1,40,19.3,1,8.75
34,1,660,8,0,0,60,0,195,29,0,14,0,0,45000,20,9,1,21,34.86,1,9.285714
21,0,234,12,0,0,34,0,200,19,0,12,0,0,11500,3,1,1,40,1.1,1,5
37,0,600,13,0,0,60,0,458,30,0,12,0,0,27500,18,12,1,40,3.684,1,11.45
47,1,440,12,1,0,40,0,162,45,1,12,0,1,27500,29,27,0,40,19.076,1,4.05
52,1,440,12,0,0,40,0,82,55,0,12,0,0,0,34,37,0,40,0,1,2.05
62,0,692,12,0,0,40,0,692,57,0,12,0,0,67500,44,39,0,40,31.516,1,17.3
41,1,85,12,1,0,40,1,268,39,1,12,0,1,37500,23,21,0,40,23.564,1,6.7
42,1,224,12,1,0,40,1,500,41,1,12,0,0,67500,24,23,0,40,41.5,1,12.5
28,0,446,12,0,0,40,0,420,41,0,13,0,0,55000,10,22,0,40,33.16,1,10.5
59,0,700,16,0,0,40,0,130,54,0,16,0,0,37500,37,32,0,20,30.74,1,6.5
55,0,268,12,0,0,0,0,220,52,0,12,0,0,32500,37,34,0,40,21.06,1,5.5
44,0,300,11,1,0,40,1,300,45,1,12,0,1,17500,27,27,0,40,1.9,1,7.5
35,1,666,12,0,0,44,0,360,27,0,12,0,0,45000,17,9,0,40,26.28,1,9
44,1,900,14,0,0,40,1,65,44,0,12,0,0,55000,24,26,0,9,51.62,1,7.222222
24,0,320,14,0,0,40,0,35,20,0,12,0,0,22500,4,2,1,6,20.68,1,5.833333
32,1,560,13,0,1,40,0,308,33,0,15,1,0,45000,13,12,1,40,28.984,1,7.7
35,0,443,16,0,0,55,0,275,25,0,16,0,0,37500,13,3,0,45,23.2,1,6.111111
44,1,538,17,0,0,40,0,480,36,0,17,0,1,67500,21,13,1,40,42.54,1,12
31,1,742,16,0,0,45,0,385,26,0,14,0,0,45000,9,6,0,40,24.98,1,9.625
31,0,485,12,0,0,58,0,125,26,0,12,0,0,27500,13,8,1,24,21,1,5.208333
36,0,382,18,0,0,29,0,609,32,0,14,0,1,45000,12,12,1,40,13.332,1,15.225
26,0,300,12,0,0,40,1,113,30,0,6,1,0,17500,8,18,0,25,11.624,1,4.52
38,0,788,14,0,0,0,1,672,37,0,15,0,0,67500,18,16,0,24,32.556,1,28
42,0,850,18,0,0,40,0,60,34,0,14,0,0,37500,18,14,1,12,34.38,1,5
26,0,770,16,0,1,40,0,300,24,0,16,0,0,67500,4,2,0,40,51.9,1,7.5
31,1,234,16,0,0,25,0,374,26,0,12,0,1,32500,9,8,1,40,13.052,1,9.35
45,0,1900,18,0,0,60,1,885,46,0,18,1,0,112500,21,22,0,40,66.48,1,22.125
34,0,815,16,0,0,50,0,807,39,0,15,0,0,3000,12,18,0,40,0,1,20.175
51,0,250,12,0,0,40,0,400,53,0,17,0,1,55000,33,30,0,40,34.2,1,10
49,0,400,12,0,1,40,0,300,46,0,8,1,0,32500,31,32,0,35,16.9,1,8.571428
39,0,290,12,0,0,40,1,254,36,0,10,0,0,22500,21,20,0,40,9.292,1,6.35
33,0,405,12,0,0,47,1,346,38,0,12,0,0,37500,15,20,0,40,19.508,1,8.65
43,0,800,14,0,0,40,1,560,39,0,12,0,0,45000,23,21,0,40,15.88,1,14
33,1,700,12,0,0,70,1,219,30,0,14,0,0,55000,15,10,0,35,43.612,1,6.257143
31,1,611,12,0,0,40,0,420,30,0,12,0,1,3000,13,12,1,40,0,1,10.5
48,1,472,10,0,0,40,0,294,47,0,12,0,0,37500,32,29,0,40,22.212,1,7.35
53,0,600,14,0,0,40,0,400,54,0,14,0,1,55000,33,34,0,40,34.2,1,10
41,0,824,16,0,0,37,1,1104,39,0,18,0,1,55000,19,15,0,16,0,1,69
61,0,685,11,0,0,40,0,540,59,0,12,0,0,55000,44,41,0,40,26.92,1,13.5
44,0,1300,18,0,0,40,1,250,44,0,14,0,0,112500,20,24,0,35,99.5,1,7.142857
31,1,855,15,0,0,50,1,125,32,0,12,0,0,45000,10,14,0,18,38.5,1,6.944445
26,0,460,12,0,0,40,0,400,25,0,14,0,0,45000,8,5,0,40,24.2,1,10
43,0,1100,18,0,0,50,1,456,44,0,12,0,0,67500,19,26,0,72,43.788,1,6.333333
49,0,360,6,0,0,40,0,400,48,0,14,0,0,22500,37,28,0,40,1.7,1,10
41,0,400,16,0,1,40,0,424,39,0,16,1,0,67500,19,17,1,40,45.452,1,10.6
49,0,800,12,0,0,40,1,160,49,0,12,0,0,67500,31,31,0,24,59.18,1,6.666667
49,0,440,12,0,0,40,0,345,47,0,12,0,0,45000,31,29,0,40,27.06,1,8.625
51,0,420,10,0,0,40,0,224,49,0,12,0,0,22500,35,31,0,54,10.852,1,4.148148
35,0,570,12,0,0,44,0,460,34,0,13,0,0,55000,17,15,1,40,31.08,1,11.5
37,1,925,18,0,0,40,1,200,37,0,17,0,0,55000,13,14,0,12,44.6,1,16.66667
35,0,392,9,0,0,40,0,375,27,0,16,0,0,37500,20,5,1,40,18,1,9.375
27,1,365,16,0,0,45,0,346,26,0,16,0,1,37500,5,4,0,45,19.508,1,7.688889
49,0,400,12,0,0,40,1,85,48,0,12,0,0,67500,31,30,0,15,63.08,1,5.666667
48,0,1000,17,0,1,45,0,1800,47,0,15,0,0,45000,25,26,0,60,0,1,30
34,0,700,16,0,0,60,0,200,34,0,14,0,0,27500,12,14,1,20,17.1,1,10
53,0,1300,18,0,0,40,0,250,50,0,12,0,0,0,29,32,0,60,0,1,4.166667
22,0,660,16,0,0,50,0,105,22,0,16,0,0,45000,0,0,0,20,39.54,1,5.25
48,0,425,9,0,0,40,1,425,41,0,12,0,0,67500,33,23,0,40,45.4,1,10.625
57,0,1800,18,0,0,40,0,600,54,0,18,0,0,112500,33,30,0,35,81.3,1,17.14286
39,0,900,12,0,0,70,1,125,34,0,12,0,0,67500,21,16,0,28,61,1,4.464286
39,0,750,16,0,0,38,1,1162,37,0,16,0,0,37500,17,15,0,18,0,1,64.55556
62,0,200,11,0,0,40,0,520,58,0,12,0,0,32500,45,40,0,40,5.46,1,13
47,1,560,16,0,0,40,1,640,44,0,16,0,0,67500,25,22,0,40,34.22,1,16
26,0,350,16,0,0,45,0,400,28,0,16,0,0,45000,4,6,0,40,24.2,1,10
37,1,560,14,0,0,40,1,131,35,0,12,0,0,17500,17,17,0,24,10.688,1,5.458333
28,0,800,16,0,0,50,0,450,29,0,12,0,0,112500,6,11,0,50,89.1,1,9
53,0,260,12,0,0,40,0,300,51,0,11,0,0,37500,35,34,0,45,21.9,1,6.666667
27,0,27,15,0,0,0,0,40,21,0,14,0,0,11500,6,1,0,10,9.42,1,4
38,0,400,12,0,0,40,0,350,43,0,8,0,0,0,20,29,0,40,0,1,8.75
37,1,250,11,0,0,9,0,300,32,0,12,0,0,22500,20,14,1,45,6.9,1,6.666667
56,0,450,12,0,0,40,0,375,54,0,14,0,0,55000,38,34,0,40,35.5,1,9.375
39,0,800,16,0,0,40,1,1000,35,0,16,0,0,112500,17,13,0,45,60.5,1,22.22222
44,1,640,12,0,0,40,1,200,39,0,12,0,0,37500,26,21,0,40,27.1,1,5
30,0,540,16,0,0,46,0,423,29,0,16,0,1,45000,8,7,1,40,23.004,1,10.575
24,0,250,12,1,0,40,0,210,30,1,16,0,0,22500,6,8,0,40,11.58,1,5.25
36,0,250,12,0,0,68,1,156,36,0,12,0,0,0,18,18,0,20,0,1,7.8
49,0,400,8,0,0,60,0,164,46,0,13,0,0,37500,35,27,0,20,28.972,1,8.2
33,1,720,12,0,0,55,0,392,32,0,16,0,0,67500,15,10,1,24,47.116,1,16.33333
36,0,400,12,0,0,70,1,350,36,0,16,0,0,55000,18,14,0,50,36.8,1,7
48,0,480,12,0,0,40,0,288,47,0,12,0,0,55000,30,29,0,40,40.024,1,7.2
46,0,1200,16,0,0,50,0,425,45,0,16,0,0,67500,24,23,0,45,45.4,1,9.444445
31,0,254,14,0,0,50,0,69,29,0,14,0,0,17500,11,9,1,15,13.912,1,4.6
64,1,548,10,0,0,41,0,265,59,0,12,0,0,3000,48,41,0,45,0,1,5.888889
45,1,370,15,0,0,45,0,550,45,0,16,0,0,55000,24,23,0,40,26.4,1,13.75
29,0,600,14,0,0,40,0,700,34,0,13,0,0,67500,9,15,0,35,31.1,1,20
29,0,245,12,0,0,20,0,240,29,0,14,0,0,6250,11,9,1,40,0,1,6
62,0,425,5,0,0,40,0,348,59,0,9,0,0,32500,51,44,0,40,14.404,1,8.7
22,0,165,11,0,0,45,0,180,18,0,12,0,0,8750,5,0,0,40,0,1,4.5
39,0,480,12,0,0,40,0,475,37,0,18,0,1,22500,21,13,1,21,0,1,22.61905
30,0,310,12,0,0,54,0,150,24,0,12,0,0,22500,12,6,1,30,14.7,1,5
36,1,675,16,0,0,30,0,494,35,0,13,0,0,45000,14,16,0,35,19.312,1,14.11429
40,0,699,14,0,0,40,1,772,40,0,13,0,0,67500,20,21,0,40,27.356,1,19.3
50,0,700,11,0,1,40,0,600,37,0,13,1,0,67500,33,18,1,40,36.3,1,15
39,0,550,12,0,0,45,0,220,37,0,12,0,0,37500,21,19,1,16,26.06,1,13.75
58,0,140,12,0,0,50,0,100,54,0,12,0,0,8750,40,36,0,20,3.55,1,5
37,0,350,12,0,0,35,1,800,35,0,12,0,0,45000,19,17,0,40,3.4,1,20
42,0,1500,18,0,0,45,0,550,41,0,18,0,0,3000,18,17,0,45,0,1,12.22222
43,0,600,16,0,0,84,1,90,43,0,16,0,1,32500,21,21,0,20,27.82,1,4.5
